year,month,day,team,defensive_sack_percentage
2021,1,17,Washington,8.16%
2021,1,17,New Orleans,0.00%
2021,1,17,Tampa Bay,13.95%
2021,1,17,Green Bay,9.09%
2021,1,17,Arizona,25.00%
2021,1,17,Denver,9.09%
2021,1,17,Miami,8.11%
2021,1,17,Cleveland,16.00%
2021,1,17,NY Giants,2.78%
2021,1,17,Houston,8.33%
2021,1,17,Buffalo,2.63%
2021,1,17,Seattle,10.34%
2021,1,17,Chicago,18.92%
2021,1,17,Indianapolis,0.00%
2021,1,17,Dallas,5.00%
2021,1,17,Baltimore,0.00%
2021,1,17,San Francisco,5.88%
2021,1,17,LA Chargers,5.71%
2021,1,17,Kansas City,7.55%
2021,1,17,Atlanta,2.22%
2021,1,17,New England,3.85%
2021,1,17,Minnesota,0.00%
2021,1,17,NY Jets,3.03%
2021,1,17,Detroit,0.00%
2021,1,17,Carolina,3.57%
2021,1,17,Jacksonville,4.00%
2021,1,17,Cincinnati,8.00%
2021,1,17,Las Vegas,0.00%
2021,1,17,Tennessee,0.00%
2021,1,10,Pittsburgh,6.12%
2021,1,10,Philadelphia,5.56%
2021,1,10,Washington,0.00%
2021,1,10,New Orleans,7.14%
2021,1,10,LA Rams,4.88%
2021,1,10,Green Bay,20.59%
2021,1,10,Denver,2.44%
2021,1,10,Miami,18.18%
2021,1,10,Tampa Bay,3.85%
2021,1,10,NY Giants,10.42%
2021,1,10,Indianapolis,11.63%
2021,1,10,Buffalo,0.00%
2021,1,10,Houston,7.89%
2021,1,10,Cleveland,6.25%
2021,1,10,Arizona,2.08%
2021,1,10,Seattle,8.33%
2021,1,10,Baltimore,2.04%
2021,1,10,Dallas,0.00%
2021,1,10,Chicago,4.55%
2021,1,10,San Francisco,2.44%
2021,1,10,Atlanta,5.13%
2021,1,10,LA Chargers,4.35%
2021,1,10,Kansas City,0.00%
2021,1,10,New England,5.36%
2021,1,10,Minnesota,4.55%
2021,1,10,NY Jets,4.08%
2021,1,10,Detroit,5.56%
2021,1,10,Carolina,4.26%
2021,1,10,Jacksonville,8.51%
2021,1,10,Las Vegas,11.54%
2021,1,10,Cincinnati,0.00%
2021,1,10,Tennessee,0.00%
2021,1,3,Pittsburgh,14.29%
2021,1,3,Washington,10.26%
2021,1,3,Philadelphia,6.06%
2021,1,3,New Orleans,10.00%
2021,1,3,LA Rams,5.41%
2021,1,3,Denver,15.79%
2021,1,3,Buffalo,5.45%
2021,1,3,Tampa Bay,3.85%
2021,1,3,Arizona,14.29%
2021,1,3,NY Giants,6.45%
2021,1,3,Indianapolis,4.35%
2021,1,3,Baltimore,0.00%
2021,1,3,Houston,8.51%
2021,1,3,Cleveland,0.00%
2021,1,3,Green Bay,6.12%
2021,1,3,Miami,10.00%
2021,1,3,Seattle,11.54%
2021,1,3,Dallas,10.00%
2021,1,3,San Francisco,6.06%
2021,1,3,Chicago,0.00%
2021,1,3,Atlanta,11.36%
2021,1,3,LA Chargers,10.71%
2021,1,3,Kansas City,2.38%
2021,1,3,Minnesota,0.00%
2021,1,3,New England,5.56%
2021,1,3,NY Jets,9.30%
2021,1,3,Detroit,7.41%
2021,1,3,Carolina,4.26%
2021,1,3,Cincinnati,0.00%
2021,1,3,Tennessee,4.35%
2021,1,3,Jacksonville,6.45%
2021,1,3,Las Vegas,2.50%
2020,12,27,Pittsburgh,13.33%
2020,12,27,Philadelphia,2.63%
2020,12,27,LA Rams,6.06%
2020,12,27,Arizona,12.00%
2020,12,27,Washington,0.00%
2020,12,27,Tampa Bay,11.43%
2020,12,27,Green Bay,7.89%
2020,12,27,New Orleans,4.65%
2020,12,27,Miami,8.11%
2020,12,27,Denver,2.44%
2020,12,27,Indianapolis,10.87%
2020,12,27,Buffalo,8.57%
2020,12,27,Cleveland,3.03%
2020,12,27,Chicago,7.89%
2020,12,27,NY Giants,3.03%
2020,12,27,Seattle,6.78%
2020,12,27,Houston,3.33%
