year,month,day,team,total_points_per_game
2021,1,24,Tennessee,46.0
2021,1,24,Kansas City,32.0
2021,1,24,Green Bay,24.0
2021,1,24,Seattle,20.0
2021,1,24,Buffalo,48.0
2021,1,24,Baltimore,40.0
2021,1,24,Tampa Bay,31.0
2021,1,24,Indianapolis,27.0
2021,1,24,New Orleans,29.0
2021,1,24,Arizona,33.0
2021,1,24,Las Vegas,27.0
2021,1,24,Cleveland,20.0
2021,1,24,Pittsburgh,17.0
2021,1,24,Minnesota,27.0
2021,1,24,Atlanta,27.0
2021,1,24,Miami,22.0
2021,1,24,LA Rams,20.0
2021,1,24,Dallas,41.0
2021,1,24,Detroit,25.0
2021,1,24,San Francisco,33.0
2021,1,24,LA Chargers,30.0
2021,1,24,Carolina,16.0
2021,1,24,Chicago,33.0
2021,1,24,Houston,20.0
2021,1,24,Philadelphia,26.0
2021,1,24,Washington,15.0
2021,1,24,New England,12.0
2021,1,24,Denver,19.0
2021,1,24,Jacksonville,14.0
2021,1,24,Cincinnati,27.0
2021,1,24,NY Giants,6.0
2021,1,24,NY Jets,23.0
2021,1,17,Green Bay,31.0
2021,1,17,Kansas City,33.0
2021,1,17,Seattle,40.0
2021,1,17,Tennessee,31.0
2021,1,17,Indianapolis,44.0
2021,1,17,Tampa Bay,26.0
2021,1,17,New Orleans,21.0
2021,1,17,Baltimore,47.0
2021,1,17,Buffalo,26.0
2021,1,17,Arizona,26.0
2021,1,17,Las Vegas,27.0
2021,1,17,Pittsburgh,15.0
2021,1,17,Cleveland,42.0
2021,1,17,Minnesota,14.0
2021,1,17,Miami,27.0
2021,1,17,Atlanta,17.0
2021,1,17,LA Rams,24.0
2021,1,17,Detroit,24.0
2021,1,17,Carolina,27.0
2021,1,17,San Francisco,15.0
2021,1,17,Dallas,30.0
2021,1,17,LA Chargers,20.0
2021,1,17,Houston,7.0
2021,1,17,Washington,23.0
2021,1,17,Chicago,36.0
2021,1,17,Philadelphia,24.0
2021,1,17,New England,3.0
2021,1,17,Jacksonville,10.0
2021,1,17,Denver,32.0
2021,1,17,Cincinnati,7.0
2021,1,17,NY Giants,7.0
2021,1,17,NY Jets,3.0
2021,1,10,Green Bay,30.0
2021,1,10,Kansas City,22.0
2021,1,10,Tennessee,35.0
2021,1,10,Seattle,12.0
2021,1,10,New Orleans,21.0
2021,1,10,Tampa Bay,24.0
2021,1,10,Pittsburgh,17.0
2021,1,10,Buffalo,34.0
2021,1,10,Arizona,28.0
2021,1,10,Indianapolis,26.0
2021,1,10,Las Vegas,31.0
2021,1,10,Minnesota,27.0
2021,1,10,Baltimore,34.0
2021,1,10,Atlanta,16.0
2021,1,10,Cleveland,41.0
2021,1,10,Miami,19.0
2021,1,10,LA Rams,38.0
2021,1,10,Houston,20.0
2021,1,10,Detroit,34.0
2021,1,10,San Francisco,24.0
2021,1,10,Carolina,27.0
2021,1,10,LA Chargers,0.0
2021,1,10,New England,45.0
2021,1,10,Dallas,17.0
2021,1,10,Washington,23.0
2021,1,10,Philadelphia,16.0
2021,1,10,Jacksonville,24.0
2021,1,10,Chicago,30.0
2021,1,10,Cincinnati,7.0
2021,1,10,NY Giants,17.0
2021,1,10,Denver,16.0
2021,1,10,NY Jets,28.0
2021,1,3,Green Bay,41.0
2021,1,3,Kansas City,27.0
2021,1,3,Seattle,23.0
2021,1,3,New Orleans,31.0
2021,1,3,Tennessee,45.0
2021,1,3,Pittsburgh,19.0
2021,1,3,Tampa Bay,24.0
2021,1,3,Arizona,17.0
2021,1,3,Indianapolis,26.0
2021,1,3,Buffalo,27.0
2021,1,3,Atlanta,43.0
2021,1,3,Las Vegas,6.0
2021,1,3,Minnesota,28.0
