year,month,day,team,red_zone_TD_percentage
2015,9,27,Pittsburgh,100.00%
2015,9,27,Tennessee,66.67%
2015,9,27,Las Vegas,66.67%
2015,9,27,New England,60.00%
2015,9,27,Detroit,66.67%
2015,9,27,Denver,100.00%
2015,9,27,Philadelphia,50.00%
2015,9,27,NY Jets,66.67%
2015,9,27,Washington,33.33%
2015,9,27,Atlanta,100.00%
2015,9,27,Green Bay,33.33%
2015,9,27,Cincinnati,50.00%
2015,9,27,Miami,100.00%
2015,9,27,Houston,66.67%
2015,9,27,New Orleans,100.00%
2015,9,27,LA Chargers,50.00%
2015,9,27,Indianapolis,0.00%
2015,9,27,Seattle,100.00%
2015,9,27,Tampa Bay,40.00%
2015,9,27,Kansas City,25.00%
2015,9,27,Dallas,0.00%
2015,9,27,Minnesota,50.00%
2015,9,27,Chicago,50.00%
2015,9,27,Carolina,50.00%
2015,9,27,Jacksonville,33.33%
2015,9,27,San Francisco,25.00%
2015,9,27,Baltimore,33.33%
2015,9,27,NY Giants,33.33%
2015,9,27,Cleveland,50.00%
2015,9,20,New England,100.00%
2015,9,20,Buffalo,100.00%
2015,9,20,Washington,100.00%
2015,9,20,Arizona,100.00%
2015,9,20,Las Vegas,100.00%
2015,9,20,Indianapolis,100.00%
2015,9,20,Tennessee,100.00%
2015,9,20,Detroit,100.00%
2015,9,20,Green Bay,80.00%
2015,9,20,Denver,100.00%
2015,9,20,Philadelphia,75.00%
2015,9,20,Pittsburgh,66.67%
2015,9,20,Cincinnati,66.67%
2015,9,20,NY Jets,66.67%
2015,9,20,Dallas,60.00%
2015,9,20,LA Chargers,57.14%
2015,9,20,Tampa Bay,50.00%
2015,9,20,Houston,50.00%
2015,9,20,LA Rams,50.00%
2015,9,20,Kansas City,25.00%
2015,9,20,San Francisco,40.00%
2015,9,20,Jacksonville,33.33%
2015,9,20,Carolina,33.33%
2015,9,20,Chicago,33.33%
2015,9,20,Atlanta,33.33%
2015,9,20,Miami,33.33%
2015,9,20,Seattle,25.00%
2015,9,20,NY Giants,25.00%
2015,9,20,New Orleans,25.00%
2015,9,20,Cleveland,0.00%
2015,9,20,Minnesota,0.00%
2015,9,20,Baltimore,0.00%
2015,9,13,New England,100.00%
2015,9,13,Pittsburgh,66.67%
2015,9,6,Las Vegas,100.00%
2015,9,6,Dallas,100.00%
2015,9,6,Chicago,0.00%
2015,9,6,Denver,100.00%
2015,9,6,New England,85.71%
2015,9,6,Atlanta,0.00%
2015,9,6,New Orleans,66.67%
2015,9,6,NY Giants,33.33%
2015,9,6,Kansas City,25.00%
2015,9,6,Cincinnati,100.00%
2015,9,6,Green Bay,33.33%
2015,9,6,Indianapolis,100.00%
2015,9,6,Baltimore,80.00%
2015,9,6,LA Chargers,33.33%
2015,9,6,Houston,100.00%
2015,9,6,Minnesota,0.00%
2015,9,6,Tampa Bay,66.67%
2015,9,6,Detroit,50.00%
2015,9,6,Pittsburgh,33.33%
